Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-14 01:15:00,11.12,8.82,25.1,,DO_>10_before_noon,
2025-12-14 01:30:00,10.77,8.82,25.2,,DO_>10_before_noon; DO_jump_>2,
2025-12-14 01:45:00,7.62,8.82,25.1,,DO_jump_>2,
2025-12-14 02:00:00,7.78,8.82,25.1,,,
2025-12-14 02:15:00,7.92,8.8,25.1,,,
2025-12-14 02:30:00,8.02,8.8,25.1,,,
2025-12-14 02:45:00,8.11,8.8,25.1,,,
2025-12-14 03:00:00,8.16,8.8,25,,,
2025-12-14 03:15:00,8.19,8.8,25,,,
2025-12-14 03:30:00,8.2,8.8,25,,,
2025-12-14 03:45:00,8.19,8.8,25,,,
2025-12-14 04:00:00,8.2,8.8,24.9,,,
2025-12-14 04:15:00,8.18,8.8,24.9,,,
2025-12-14 04:30:00,8.16,8.8,24.9,,,
2025-12-14 04:45:00,8.13,8.8,24.9,,,
2025-12-14 05:00:00,8.09,8.8,24.8,,,
2025-12-14 05:15:00,8.02,8.79,24.8,,,
2025-12-14 05:30:00,7.95,8.79,24.8,,,
2025-12-14 05:45:00,7.88,8.79,24.8,,,
2025-12-14 06:00:00,7.78,8.79,24.8,,,
2025-12-14 06:15:00,7.66,8.79,24.7,,,
2025-12-14 06:30:00,7.54,8.79,24.7,,,
2025-12-14 06:45:00,7.38,8.79,24.7,,,
2025-12-14 07:00:00,7.21,8.79,24.6,,,
2025-12-14 07:15:00,5.77,8.79,24.6,,,
2025-12-14 07:30:00,5.74,8.79,24.6,,,
2025-12-14 07:45:00,5.7,8.79,24.6,,,
2025-12-14 08:00:00,5.8,8.79,24.6,,,
2025-12-14 08:15:00,6.33,8.79,24.6,,,
2025-12-14 08:30:00,6.75,8.81,24.6,,,
2025-12-14 08:45:00,6.53,8.79,24.7,,,
2025-12-14 09:00:00,7.12,8.81,24.7,,,
2025-12-14 09:15:00,7.6,8.81,24.8,,,
2025-12-14 09:30:00,7.96,8.81,24.9,,,
2025-12-14 09:45:00,8.25,8.81,25,,,
2025-12-14 10:00:00,8.7,8.81,25.2,,,
2025-12-14 10:15:00,9.03,8.81,25.2,,,
2025-12-14 10:30:00,8.77,8.81,25.3,flyover_window,,
2025-12-14 10:45:00,9,8.81,25.3,,,
2025-12-14 11:00:00,9.17,8.81,25.3,,,
2025-12-14 11:15:00,9.37,8.81,25.4,,,
2025-12-14 11:30:00,9.42,8.81,25.4,,,
2025-12-14 11:45:00,10.1,8.81,25.5,,DO_>10_before_noon,
2025-12-14 12:00:00,10.84,8.81,25.6,,,
2025-12-14 12:15:00,11.3,8.83,25.8,,,
