Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-14 01:30:00,13,8.35,25,,DO_>10_before_noon,
2025-12-14 01:45:00,12.95,8.35,25,,DO_>10_before_noon,
2025-12-14 02:00:00,12.83,8.35,25,,DO_>10_before_noon,
2025-12-14 02:15:00,11.8,8.35,24.8,,DO_>10_before_noon,
2025-12-14 02:30:00,11.68,8.34,24.8,,DO_>10_before_noon,
2025-12-14 02:45:00,11.6,8.34,24.8,,DO_>10_before_noon; DO_jump_>2,
2025-12-14 03:00:00,7.76,8.34,24.8,,DO_jump_>2,
2025-12-14 03:15:00,9.56,8.32,24.7,,,
2025-12-14 03:30:00,9.47,8.3,24.7,,,
2025-12-14 03:45:00,9.42,8.3,24.8,,,
2025-12-14 04:00:00,9.09,8.3,24.7,,,
2025-12-14 04:15:00,8.88,8.3,24.7,,,
2025-12-14 04:30:00,8.46,8.3,24.7,,,
2025-12-14 04:45:00,8.01,8.29,24.7,,,
2025-12-14 05:00:00,7.83,8.29,24.7,,,
2025-12-14 05:15:00,7.49,8.27,24.6,,,
2025-12-14 05:30:00,7.72,8.29,24.6,,,
2025-12-14 05:45:00,7.85,8.29,24.7,,,
2025-12-14 06:00:00,8.45,8.3,24.6,,,
2025-12-14 06:15:00,8.47,8.3,24.6,,,
2025-12-14 06:30:00,7.87,8.29,24.6,,,
2025-12-14 06:45:00,7.74,8.29,24.6,,,
2025-12-14 07:00:00,7.48,8.29,24.6,,,
2025-12-14 07:15:00,7.21,8.27,24.6,,,
2025-12-14 07:30:00,7.13,8.27,24.6,,,
2025-12-14 07:45:00,7.04,8.29,24.6,,,
2025-12-14 08:00:00,6.86,8.29,24.6,,,
2025-12-14 08:15:00,6.79,8.27,24.7,,,
2025-12-14 08:30:00,6.93,8.27,24.7,,,
2025-12-14 08:45:00,7.24,8.29,24.7,,,
2025-12-14 09:00:00,7.34,8.27,24.8,,,
2025-12-14 09:15:00,7.64,8.29,24.9,,,
2025-12-14 09:30:00,8.1,8.3,24.9,,,
2025-12-14 09:45:00,8.47,8.3,25,,,
2025-12-14 10:00:00,8.3,8.3,25,,,
2025-12-14 10:15:00,8.45,8.3,25.3,,,
2025-12-14 10:30:00,8.5,8.3,25.2,flyover_window,,
2025-12-14 10:45:00,8.92,8.3,25.3,,,
2025-12-14 11:00:00,9.53,8.32,25.5,,,
2025-12-14 11:15:00,10.71,8.34,25.5,,DO_>10_before_noon,
2025-12-14 11:30:00,11.81,8.35,25.6,,DO_>10_before_noon,
2025-12-14 11:45:00,10.72,8.35,25.6,,DO_>10_before_noon,
2025-12-14 12:00:00,11.92,8.37,25.7,,,
2025-12-14 12:15:00,12.19,8.37,25.7,,,
2025-12-14 12:30:00,13.55,8.4,26,,,
2025-12-14 12:45:00,13.57,8.4,26.1,,,
2025-12-14 13:00:00,14.22,8.4,26.2,,,
2025-12-14 13:15:00,14.56,8.4,26.1,,,
2025-12-14 13:30:00,14.84,8.4,26.2,,,
2025-12-14 13:45:00,15.19,8.42,26.3,,,
2025-12-14 14:00:00,15.66,8.42,26.2,,,
2025-12-14 14:15:00,16.03,8.44,26.3,,,
2025-12-14 14:30:00,16.84,8.43,26.4,,,
2025-12-14 14:45:00,17.63,8.45,26.4,,,
2025-12-14 15:00:00,18.91,8.47,26.6,,,
2025-12-14 15:15:00,20.77,8.5,26.8,,,
2025-12-14 15:30:00,20.87,8.5,26.8,,,
2025-12-14 15:45:00,20.82,8.5,26.7,,,
2025-12-14 16:00:00,20.7,8.5,26.6,,,
2025-12-14 16:15:00,20.21,8.49,26.5,,,
2025-12-14 16:30:00,20.1,8.49,26.5,time_gap_>20min,,
2025-12-14 17:15:00,19.78,8.49,26.4,time_gap_>20min,,
2025-12-14 17:30:00,20.02,8.49,26.3,,,
2025-12-14 17:45:00,20.47,8.49,26.3,,,
2025-12-14 18:00:00,19.35,8.49,26.3,,,
2025-12-14 18:15:00,19.28,8.49,26.2,,,
2025-12-14 18:30:00,18.41,8.47,26.1,,,
2025-12-14 18:45:00,18.12,8.45,26,,,
2025-12-14 19:00:00,17.67,8.47,26,,,
2025-12-14 19:15:00,18.02,8.47,26,,,
2025-12-14 19:30:00,17.44,8.45,26,,,
2025-12-14 19:45:00,16.88,8.45,25.9,,,
2025-12-14 20:00:00,16.65,8.45,25.9,,,
2025-12-14 20:15:00,16.51,8.45,25.9,,,
2025-12-14 20:30:00,16.57,8.45,25.9,,,
2025-12-14 20:45:00,16.19,8.45,25.9,,,
2025-12-14 21:00:00,16.06,8.45,25.8,,,
2025-12-14 21:15:00,15.59,8.44,25.8,,,
2025-12-14 21:30:00,15.45,8.44,25.8,,,
2025-12-14 21:45:00,15.4,8.44,25.7,,,
2025-12-14 22:00:00,14.99,8.42,25.7,,,
2025-12-14 22:15:00,14.07,8.42,25.6,,,
2025-12-14 22:30:00,13.43,8.42,25.6,,,
2025-12-14 22:45:00,12.35,8.39,25.5,,,
2025-12-14 23:00:00,11.84,8.39,25.5,,,
2025-12-14 23:15:00,11.67,8.39,25.4,,,
2025-12-14 23:30:00,12.21,8.39,25.5,,,
2025-12-14 23:45:00,12.03,8.39,25.5,,,
2025-12-15 00:00:00,11.72,8.39,25.4,,DO_>10_before_noon,
2025-12-15 00:15:00,11.29,8.39,25.4,,DO_>10_before_noon,
2025-12-15 00:30:00,11,8.39,25.4,,DO_>10_before_noon,
2025-12-15 00:45:00,10.74,8.37,25.4,,DO_>10_before_noon,
2025-12-15 01:00:00,10.46,8.35,25.3,,DO_>10_before_noon,
2025-12-15 01:15:00,10.27,8.35,25.3,,DO_>10_before_noon,
2025-12-15 01:30:00,9.91,8.35,25.2,,,
2025-12-15 01:45:00,9.4,8.34,25,,,
2025-12-15 02:00:00,8.17,8.29,24.8,,,
2025-12-15 02:15:00,8.01,8.29,24.9,,,
2025-12-15 02:30:00,7.88,8.3,24.9,,,
2025-12-15 02:45:00,7.39,8.3,24.9,,,
2025-12-15 03:00:00,7.39,8.3,25,,,
2025-12-15 03:15:00,7.28,8.32,25,,,
2025-12-15 03:30:00,7.11,8.3,25,,,
2025-12-15 03:45:00,6.75,8.3,25,,,
2025-12-15 04:00:00,6.95,8.3,24.9,,,
2025-12-15 04:15:00,6.79,8.3,24.9,,,
2025-12-15 04:30:00,6.66,8.3,24.9,,,
2025-12-15 04:45:00,6.61,8.3,24.9,,,
2025-12-15 05:00:00,6.38,8.3,24.8,,,
2025-12-15 05:15:00,6.25,8.3,24.9,,,
2025-12-15 05:30:00,6.12,8.3,24.8,,,
