Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2026-01-04 08:15:00,9.19,8.58,24.7,,,
2026-01-04 08:30:00,8.26,8,23.4,,,
2026-01-04 08:45:00,8.4,8.52,25.9,,,
2026-01-04 09:00:00,8.36,8.53,25.9,,,
2026-01-04 09:15:00,8.76,8.53,25.9,,,
2026-01-04 09:30:00,8.71,8.54,26,,,
2026-01-04 09:45:00,9.78,8.6,26.1,,,
2026-01-04 10:00:00,9.57,8.57,26.1,,,
2026-01-04 10:15:00,9.74,8.62,26.2,,,
2026-01-04 10:30:00,9.39,8.56,26.1,flyover_window,,
2026-01-04 10:45:00,10.35,8.62,26.2,,DO_>10_before_noon,
2026-01-04 11:00:00,11.23,8.71,26.4,,DO_>10_before_noon,
2026-01-04 11:15:00,10.63,8.61,26.3,,DO_>10_before_noon,
2026-01-04 11:30:00,10.81,8.62,26.4,,DO_>10_before_noon,
2026-01-04 11:45:00,10.48,8.66,26.6,,DO_>10_before_noon,
2026-01-04 12:00:00,10.44,8.6,26.4,,,
2026-01-04 12:15:00,10.73,8.63,26.4,,,
2026-01-04 12:30:00,10.97,8.63,26.4,,,
2026-01-04 12:45:00,11.31,8.65,26.5,,,
2026-01-04 13:00:00,12.48,8.71,26.6,,DO_jump_>2,
2026-01-04 13:15:00,18.07,8.91,27.4,,DO_jump_>2,
2026-01-04 13:30:00,18.62,8.93,27.5,,,
2026-01-04 13:45:00,17.91,8.91,27.3,,,
2026-01-04 14:00:00,17.2,8.94,27.8,,,
2026-01-04 14:15:00,18.43,8.96,27.7,,DO_jump_>2,
2026-01-04 14:30:00,21.15,9.03,27.6,,DO_jump_>2,
2026-01-04 14:45:00,19.67,8.94,27.4,,,
2026-01-04 15:00:00,18.76,8.94,27.5,,,
2026-01-04 15:15:00,17.17,8.88,27.4,,,
2026-01-04 15:30:00,18.67,8.96,27.5,,,
