Date,Pond ID,Time,DO ,,,pH,,,Temperature,,,QC_Flag
,,,ProDSS,Monitor,Difference (abs),ProDSS,Monitor,Difference (abs),ProDSS,Monitor,Difference (abs),
2025-12-15,319c1ff7,10:30,5.8,5.69,0.11,8.37,8.72,0.35,25.0,24.9,0.1,
,56e8a695,~10:15,6.8,6.33,0.47,8.29,8.3,0.01,24.9,25.1,0.2,
,35f0d376,~10:00,6.5,5.82,0.68,8.33,8.77,0.44,25.2,25.1,0.1,
,c5b49325,~9:30,4.7,3.46,1.24,8.5,8.54,0.04,24.6,24.7,0.1,notable_difference:DO_Difference
2025-12-17,f9218e7b,~9:30,7.8,6.63,1.17,8.06,8.43,0.37,25.6,26.1,0.5,notable_difference:DO_Difference
,9252e874,~9:45,4.2,6.83,2.63,7.93,8.45,0.52,25.0,25.6,0.6,notable_difference:DO_Difference
,fc8ef4d2,~10:30,5.3,4.76,0.54,8.2,8.52,0.32,25.3,25.3,0,
,bdf8fe72,~10:45,11.2,9.09,2.11,8.46,8.7,0.24,25.4,25.1,0.3,large_difference:DO_Difference
2025-12-20,eb2903bd,~9:30,4.4,3.9,0.5,8.27,6.9,1.37,25.0,24.8,0.2,
,917e0459,~9:45,5.2,5.05,0.15,8.09,8.21,0.12,25.2,25.1,0.1,
,a0b42194,~10:15,4.6,4.2,0.4,8.28,8.53,0.25,25.5,25.5,0,
,ac7bb683,10:30,6.8,6.4,0.4,8.15,8.49,0.34,26.0,26.0,0,
2025-12-25,eb2903bd,09:30,4.4,4.54,0.14,8.25,8.59,0.34,24.8,24.8,0,
,917e0459,~10:00,3.0,3.02,0.02,8.08,8.19,0.11,25.1,25.1,0,
,a0b42194,~10:15,4.1,3.73,0.37,8.2,8.47,0.27,25.3,25.3,0,
,ac7bb683,10:30,7.3,6.48,0.82,8.21,8.52,0.31,25.8,25.7,0.1,
,9252e874,~9:15,2.74,3.14,0.4,8.0,8.69,0.69,25.0,26.45,1.45,
2025-12-30,eb2903bd,~9:30,3.3,1.74,1.56,8.2,8.2,0,24.9,24.8,0.1,
,917e0459,~10:00,4.0,2.38,1.62,8.13,8.07,0.06,25.3,25.4,0.1,
,a0b42194,~10:00,5.7,N/A,,8.3,N/A,,25.6,N/A,,
,ac7bb683,10:30,6.2,5.3,0.9,8.22,8.48,0.26,25.8,25.8,0,
,9252e874,~9:00,4.47,2.57,1.9,8.06,8.56,0.5,25.2,25.0,0.2,
2026-01-04,c5b49325,09:30,2.8,1.55,1.25,8.39,8.46,0.07,25.4,25.6,0.2,
,35f0d376,10:00,3.6,3.41,0.19,8.34,8.7,0.36,25.9,25.9,0,
,56e8a695,~10:15,4.2,5.27,1.07,8.37,8.37,0,26.1,26.2,0.1,
,319c1ff7,10:30,5.3,3.44,1.86,8.39,8.62,0.23,26.2,26.1,0.1,
2026-01-06,74ea5a99,09:30,8.1,8.52,0.42,8.17,8.25,0.08,25.7,25.9,0.2,
,44865e41,09:45,9.9,10.85,0.95,8.61,8.7,0.09,25.8,26.3,0.5,
,46bbdb3a,10:30,3.7,4.34,0.64,8.58,8.84,0.26,25.7,25.9,0.2,
"Janaury 9, 2026",f9218e7b,09:30,4.3,2.28,2.02,8.06,8.38,0.32,25.3,25.2,0.1,
,9252e874,~9:45,4.5,2.23,2.27,8.02,8.16,0.14,24.2,26.04,1.84,
,fc8ef4d2,~10:00,5.4,5.79,0.39,8.31,8.67,0.36,24.5,24.2,0.3,
,bdf8fe72,10:30,7.0,5.52,1.48,8.29,8.53,0.24,24.3,24.6,0.3,
2026-01-19,c5b49325,~9:45,3.9,2.3,1.6,8.39,8.5,0.11,25.9,26.0,0.1,
,35f0d376,~10:00,6.6,6.56,0.04,8.33,8.8,0.47,26.2,26.2,0,
,56e8a695,~10:00,4.2,3.91,0.29,8.34,8.37,0.03,25.9,26.1,0.2,
,319c1ff7,10:30,4.5,4.95,0.45,8.39,8.63,0.24,25.9,25.9,0,
2026-01-24,f9218e7b,~9:30,5.7,2.28,3.42,8.0,8.43,0.43,26.4,26.3,0.1,
,9252e874,~9:45,7.2,7.98,0.78,8.24,8.34,0.1,25.7,25.8,0.1,
,fc8ef4d2,~10:00,7.3,4.78,2.52,8.44,8.66,0.22,25.9,25.7,0.2,
,bdf8fe72,10:30,5.5,7.55,2.05,8.22,8.64,0.42,25.9,26.0,0.1,
2026-01-26,ac7bb683,~9:45,6.3,6.38,0.08,8.24,N/A,,26.4,26.5,0.1,
,a0b42194,~10:00,4.8,4.87,0.07,8.26,8.57,0.31,26.3,26.3,0,
,917e0459,10:30,5.1,5.33,0.23,8.13,7.98,0.15,26.4,26.3,0.1,
,eb2903bd,~11:15,8.3,8.51,0.21,8.4,8.34,0.06,26.5,26.5,0,
2026-01-29,46bbdb3a,09:30,4.1,4.37,0.27,8.53,8.83,0.3,26.2,26.3,0.1,
,522cd38a,~9:45,4.2,5.06,0.86,8.04,8.08,0.04,26.5,26.8,0.3,
,74ea5a99,~10:00,7.6,7.44,0.16,8.3,8.48,0.18,26.4,26.5,0.1,
,5f07dc7a,10:30,4.0,4.75,0.75,7.98,8.08,0.1,26.5,27.0,0.5,
