Pond ID,Date,Time (IST),Ammonia (Photometer—TAN NH3-N),Chl-a (ProDSS—ug/L),DO (ProDSS—mg/L),pH (ProDSS/Pen*),Temperature (ProDSS—C),QC_Flag
74ea5a99,2025-11-30,08:00,0.46,NA,NA,NA,NA,
,2025-12-05,07:15,0.9,NA,NA,NA,NA,
,2025-12-10,07:09,0.29,NA,NA,NA,NA,
,2025-12-15,09:51,0.22,NA,NA,NA,NA,
,2025-12-17,07:17,0.35,NA,NA,NA,NA,
,2025-12-20,07:37,0.42,NA,NA,NA,NA,
,2025-12-30,08:45,0.27,NA,NA,NA,NA,
,2026-01-04,09:57,0.25,NA,NA,NA,NA,
,2026-01-06,09:21,0.1,84.72,NA,NA,NA,
,2026-01-09,07:27,0.62,NA,NA,NA,NA,
,2026-01-19,07:29,0.58,NA,NA,NA,NA,
,2026-01-24,07:29,0.32,NA,NA,NA,NA,
,2026-01-26,09:14,0.23,NA,NA,NA,NA,
,2026-01-29,10:01,0.43,65.59,NA,NA,NA,
44865e41,2025-11-30,07:06,0.31,NA,NA,NA,NA,
,2025-12-05,07:25,0.24,NA,NA,NA,NA,
,2025-12-10,07:33,0.19,NA,NA,NA,NA,
,2025-12-15,09:10,0.12,NA,NA,NA,NA,
,2025-12-17,07:30,0.26,NA,NA,NA,NA,
,2025-12-20,07:49,0.35,NA,NA,NA,NA,
5f07dc7a,2026-01-06,09:47,0.03,34.32,NA,NA,NA,
,2026-01-09,07:45,0.39,NA,NA,NA,NA,
,2026-01-19,07:45,0.01,NA,NA,NA,NA,
,2026-01-24,07:38,0.09,NA,NA,NA,NA,
,2026-01-26,07:46,0.09,NA,NA,NA,NA,
,2026-01-29,10:26,0.14,37.32,NA,NA,NA,
917e0459,2025-11-30,10:34,0.81,NA,NA,NA,NA,
,2025-12-05,7.04,0.47,NA,NA,NA,NA,
,2025-12-10,7.44,0.55,NA,NA,NA,NA,
,2025-12-15,08:24,0.53,NA,NA,NA,NA,
,2025-12-17,08:02,0.57,NA,NA,NA,NA,
,2025-12-20,09:53,0.53,88.13,NA,NA,NA,
,2025-12-25,NA,0.65,58.81,NA,NA,NA,
,2025-12-30,09:51,0.6,75.99,NA,NA,NA,
,2026-01-04,08:18,0.71,NA,NA,NA,NA,
,2026-01-06,07:39,0.31,NA,NA,NA,NA,
,2026-01-09,07:30,0.03,NA,NA,NA,NA,
,2026-01-19,08:30,0.17,NA,NA,NA,NA,
,2026-01-24,08:19,0.53,NA,NA,NA,NA,
,2026-01-26,10:24,0.49,47.5,NA,NA,NA,
,2026-01-29,09:12,0.39,NA,NA,NA,NA,
46bbdb3a,2025-11-30,08:42,0.32,NA,NA,NA,NA,
,2025-12-05,08:23,0.46,NA,NA,NA,NA,
,2025-12-10,08:16,0.25,NA,NA,NA,NA,
,2025-12-15,08:51,0.6,NA,NA,NA,NA,
,2025-12-17,08:07,0.56,NA,NA,NA,NA,
,2025-12-20,08:02,0.54,NA,NA,NA,NA,
,2025-12-25,07:18,0.16,NA,NA,NA,NA,
,2025-12-30,07:37,0.4,NA,NA,NA,NA,
,2026-01-04,09:07,0.09,NA,NA,NA,NA,
,2026-01-06,10:11,0.18,94.35,NA,NA,NA,
,2026-01-09,08:06,0.27,NA,NA,NA,NA,
,2026-01-19,07:58,0.16,NA,NA,NA,NA,
,2026-01-24,07:59,0.42,NA,NA,NA,NA,
,2026-01-26,08:08,0.5,NA,NA,NA,NA,
,2026-01-29,09:34,0.56,95.23,NA,NA,NA,
522cd38a,2025-12-05,07:45,0.13,NA,NA,NA,NA,
,2025-12-10,06:47,0.14,NA,NA,NA,NA,
,2025-12-15,08:12,0.2,NA,NA,NA,NA,
,2025-12-17,07:49,0.3,NA,NA,NA,NA,
,2025-12-20,08:02,0.27,NA,NA,NA,NA,
,2025-12-25,07:45,0.14,NA,NA,NA,NA,
,2025-12-30,08:57,0.2,NA,NA,NA,NA,
,2026-01-04,08:44,0.19,NA,NA,NA,NA,
,2026-01-06,10:57,0.22,NA,NA,NA,NA,
,2026-01-09,07:54,0.15,NA,NA,NA,NA,
,2026-01-19,08:11,0.25,NA,NA,NA,NA,
,2026-01-24,07:47,0.27,NA,NA,NA,NA,
,2026-01-26,07:55,0.31,NA,NA,NA,NA,
,2026-01-29,09:48,0.37,74.25,NA,NA,NA,
c5b49325,2025-11-20,09:35,0.36,40.34,2.7,8.37,25.8,
,2025-11-25,09:39,0.37,43.13,2.3,8.34,27.7,
,2025-11-27,09:39,0.89,33.51,1.7,8.41,26.5,
,2025-12-05,09:34,0.78,57.57,3,8.43,24.8,
,2025-12-10,09:37,0.36,46.44,4.2,8.47,24.7,
,2025-12-15,09:33,0.34,58.63,NA,NA,NA,
,2025-12-17,09:30,0.28,NA,NA,NA,NA,
,2025-12-20,08:14,0.4,NA,NA,NA,NA,
,2025-12-25,09:13,0.5,NA,NA,NA,NA,
,2025-12-30,10:05,0.35,NA,NA,NA,NA,
,2026-01-04,09:16,0.42,97.45,NA,NA,NA,
,2026-01-06,08:59,0.39,NA,NA,NA,NA,
,2026-01-09,09:12,0.41,NA,NA,NA,NA,
,2026-01-19,09:43,0.37,103.03,NA,NA,NA,
,2026-01-24,09:02,0.53,NA,NA,NA,NA,
,2026-01-26,09:03,0.61,NA,NA,NA,NA,
,2026-01-29,09:13,0.48,NA,NA,NA,NA,
fc8ef4d2,2025-12-15,08:07,0.39,NA,NA,NA,NA,
,2025-12-17,10.18,0.37,94.17,NA,NA,NA,
