Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-14 02:15:00,5.69,8.53,25.2,,,
2025-12-14 02:30:00,5.29,8.53,25.2,,,
2025-12-14 02:45:00,5.09,8.51,25.2,,,
2025-12-14 03:00:00,4.79,8.51,25.2,,,
2025-12-14 03:15:00,4.42,8.51,25.1,,,
2025-12-14 03:30:00,4.01,8.49,25.2,,,
2025-12-14 03:45:00,3.61,8.48,25.1,,,
2025-12-14 04:00:00,2.87,8.46,25.1,,,
2025-12-14 04:15:00,2.29,8.45,25.1,,,
2025-12-14 04:30:00,2.05,8.44,25.1,,,
2025-12-14 04:45:00,2.1,8.44,25,,,
2025-12-14 05:00:00,1.98,8.44,25,,,
2025-12-14 05:15:00,1.85,8.42,25,,,
2025-12-14 05:30:00,1.66,8.42,24.9,,,
2025-12-14 05:45:00,1.47,8.42,24.9,,,
2025-12-14 06:00:00,1.32,8.41,24.9,,,
2025-12-14 06:15:00,1.17,8.41,24.9,,,
2025-12-14 06:30:00,1.14,8.41,24.9,,,
2025-12-14 06:45:00,1,8.39,24.9,,,
2025-12-14 07:00:00,0.96,8.39,24.8,,,
2025-12-14 07:15:00,0.88,8.4,24.8,,,
2025-12-14 07:30:00,0.93,8.4,24.8,,,
2025-12-14 07:45:00,1.08,8.4,24.8,,,
2025-12-14 08:00:00,1.6,8.42,24.8,,,
2025-12-14 08:15:00,2.1,8.45,24.7,,,
2025-12-14 08:30:00,2.2,8.45,24.8,,,
2025-12-14 08:45:00,2.97,8.46,24.8,,,
2025-12-14 09:00:00,3.2,8.47,24.8,,,
2025-12-14 09:15:00,3.29,8.47,24.9,,,
2025-12-14 09:30:00,3.57,8.48,24.9,,,
2025-12-14 09:45:00,4.09,8.48,25,,,
2025-12-14 10:00:00,4.44,8.5,25.1,,,
2025-12-14 10:15:00,5.19,8.5,25.2,,,
2025-12-14 10:30:00,5.47,8.51,25.2,flyover_window,,
2025-12-14 10:45:00,5.73,8.51,25.3,,,
2025-12-14 11:00:00,6.03,8.51,25.4,,,
2025-12-14 11:15:00,6.51,8.53,25.5,,,
2025-12-14 11:30:00,7.18,8.55,25.6,,,
2025-12-14 11:45:00,7.46,8.54,25.6,,,
2025-12-14 12:00:00,7.3,8.54,25.7,,,
2025-12-14 12:15:00,7.5,8.54,25.7,,,
2025-12-14 12:30:00,7.58,8.54,25.8,,,
2025-12-14 12:45:00,7.72,8.56,25.8,,,
2025-12-14 13:00:00,7.57,8.54,25.9,,,
2025-12-14 13:15:00,7.55,8.55,26,,,
2025-12-14 13:30:00,9.47,8.59,26.1,,,
2025-12-14 13:45:00,11.46,8.63,26.4,,,
2025-12-14 14:00:00,12.64,8.66,26.6,,,
2025-12-14 14:15:00,11.91,8.69,26.8,,,
2025-12-14 14:30:00,13.74,8.71,27,,,
2025-12-14 14:45:00,14.25,8.68,26.7,,,
2025-12-14 15:00:00,15.2,8.7,26.8,,,
2025-12-14 15:15:00,16.93,8.74,27,,,
2025-12-14 15:30:00,18.77,8.74,27.1,,,
2025-12-14 15:45:00,19.48,8.78,27.3,,,
2025-12-14 16:00:00,19.31,8.78,27.2,,,
2025-12-14 16:15:00,18.25,8.76,27.2,,,
2025-12-14 16:30:00,17.82,8.74,27,,,
2025-12-14 16:45:00,17.41,8.74,26.9,,,
2025-12-14 17:00:00,17,8.72,26.8,,,
2025-12-14 17:15:00,16.3,8.72,26.7,,,
2025-12-14 17:30:00,15.79,8.71,26.6,,,
2025-12-14 17:45:00,15.51,8.69,26.6,,,
2025-12-14 18:00:00,16.47,8.71,26.6,,,
2025-12-14 18:15:00,16.1,8.71,26.5,,,
2025-12-14 18:30:00,14.96,8.69,26.4,,,
2025-12-14 18:45:00,13.89,8.67,26.3,,,
2025-12-14 19:00:00,12.5,8.66,26.2,,,
2025-12-14 19:15:00,11.75,8.63,26.1,,,
2025-12-14 19:30:00,10.98,8.63,26.1,,,
2025-12-14 19:45:00,10.2,8.61,26,,,
2025-12-14 20:00:00,9.66,8.59,25.9,,,
2025-12-14 20:15:00,9.28,8.59,25.9,,,
2025-12-14 20:30:00,9.11,8.59,25.9,,,
2025-12-14 20:45:00,8.63,8.57,25.8,,,
2025-12-14 21:00:00,8.4,8.58,25.8,,,
2025-12-14 21:15:00,7.92,8.57,25.8,,,
2025-12-14 21:30:00,7.64,8.55,25.8,,,
2025-12-14 21:45:00,7.29,8.55,25.7,,,
2025-12-14 22:00:00,6.59,8.54,25.7,,,
2025-12-14 22:15:00,6.52,8.54,25.7,,,
2025-12-14 22:30:00,6.22,8.52,25.6,,,
2025-12-14 22:45:00,5.93,8.53,25.6,,,
2025-12-14 23:00:00,5.93,8.52,25.6,,,
2025-12-14 23:15:00,5.81,8.53,25.6,,,
2025-12-14 23:30:00,5.52,8.52,25.6,,,
2025-12-14 23:45:00,5.27,8.52,25.6,,,
2025-12-15 00:00:00,5.04,8.5,25.6,,,
