Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-11-28 21:30:00,3.48,8.68,29.7,,DO_jump_>2,
2025-11-28 21:45:00,5.87,8.68,29.3,,DO_jump_>2,
2025-11-28 22:00:00,5.89,8.69,28.4,,,
2025-11-28 22:15:00,5.99,8.7,27.5,,,
2025-11-28 22:30:00,5.95,8.74,27.7,,,
2025-11-28 22:45:00,6.01,8.72,27.1,,DO_jump_>2,
2025-11-28 23:00:00,15.67,8.51,27.2,,DO_jump_>2,
2025-11-28 23:15:00,14.97,8.51,27.2,,,
2025-11-28 23:30:00,14.25,8.49,27.1,,,
2025-11-28 23:45:00,13.7,8.49,27.1,,,
2025-11-29 00:00:00,12.94,8.47,27.1,,DO_>10_before_noon,
2025-11-29 00:15:00,11.53,8.45,26.9,,DO_>10_before_noon,
2025-11-29 00:30:00,10.59,8.44,26.9,,DO_>10_before_noon,
2025-11-29 00:45:00,10.44,8.44,26.8,,DO_>10_before_noon,
2025-11-29 01:00:00,10.37,8.44,26.8,,DO_>10_before_noon,
2025-11-29 01:15:00,9.87,8.44,26.8,,,
2025-11-29 01:30:00,9.74,8.44,26.7,,,
2025-11-29 01:45:00,9.17,8.43,26.7,,,
2025-11-29 02:00:00,8.81,8.41,26.6,,,
2025-11-29 02:15:00,8.32,8.41,26.6,,,
2025-11-29 02:30:00,8.29,8.4,26.6,,,
2025-11-29 02:45:00,7.8,8.39,26.6,,,
2025-11-29 03:00:00,7.22,8.36,26.5,,,
2025-11-29 03:15:00,6.39,8.34,26.5,,,
2025-11-29 03:30:00,6.04,8.34,26.5,,,
2025-11-29 03:45:00,5.79,8.34,26.4,,,
2025-11-29 04:00:00,5.77,8.34,26.4,,,
2025-11-29 04:15:00,5.73,8.34,26.4,,,
2025-11-29 04:30:00,5.56,8.34,26.4,,,
2025-11-29 04:45:00,5.37,8.34,26.3,,,
2025-11-29 05:00:00,5.09,8.34,26.2,,,
2025-11-29 05:15:00,5.12,8.34,26.2,,,
2025-11-29 05:30:00,4.82,8.34,26.2,,,
2025-11-29 05:45:00,4.48,8.32,26.2,,,
2025-11-29 06:00:00,4.2,8.32,26.2,,,
2025-11-29 06:15:00,3.86,8.32,26.1,,,
2025-11-29 06:30:00,3.52,8.3,26.1,time_gap_>20min,,
2025-11-29 07:00:00,3.06,8.3,26,time_gap_>20min,,
2025-11-29 07:15:00,2.75,8.28,26,,,
2025-11-29 07:30:00,2.5,8.28,26,,,
2025-11-29 07:45:00,2.44,8.28,25.9,,,
2025-11-29 08:00:00,2.42,8.28,25.9,,,
2025-11-29 08:15:00,2.06,8.28,25.9,,,
2025-11-29 08:30:00,1.76,8.27,25.9,,,
2025-11-29 08:45:00,1.55,8.26,25.9,,,
2025-11-29 09:00:00,1.44,8.26,25.9,,,
2025-11-29 09:15:00,1.25,8.26,25.7,,,
2025-11-29 09:30:00,1.09,8.26,25.7,,,
2025-11-29 09:45:00,0.89,8.25,25.7,,,
2025-11-29 10:00:00,0.73,8.25,25.6,,,
2025-11-29 10:15:00,0.62,8.23,25.6,,,
2025-11-29 10:30:00,0.53,8.23,25.6,flyover_window,,
2025-11-29 10:45:00,0.45,8.23,25.5,,,
2025-11-29 11:00:00,0.32,8.23,25.5,,,
2025-11-29 11:15:00,0.21,8.23,25.5,,,
2025-11-29 11:30:00,0.24,8.23,25.4,,,
2025-11-29 11:45:00,0.19,8.23,25.4,,,
2025-11-29 12:00:00,0.15,8.23,25.4,,,
2025-11-29 12:15:00,0,8.24,25.6,,DO_<0.1,
2025-11-29 12:30:00,0.01,8.23,25.6,,DO_<0.1,
2025-11-29 12:45:00,0.25,8.24,25.5,,,
2025-11-29 13:00:00,0.2,8.24,25.5,,,
2025-11-29 13:15:00,0.62,8.24,25.4,,,
2025-11-29 13:30:00,0.51,8.24,25.4,,,
2025-11-29 13:45:00,1.02,8.26,25.4,,,
2025-11-29 14:00:00,1.36,8.25,25.4,,,
2025-11-29 14:15:00,1.58,8.25,25.4,,,
2025-11-29 14:30:00,2.73,8.28,25.5,,,
2025-11-29 14:45:00,2.56,8.27,25.5,,,
2025-11-29 15:00:00,3.21,8.29,25.6,,,
2025-11-29 15:15:00,3.76,8.3,25.6,,,
2025-11-29 15:30:00,3.42,8.3,25.6,,,
2025-11-29 15:45:00,4.61,8.32,25.7,,,
2025-11-29 16:00:00,4.99,8.32,25.8,,,
2025-11-29 16:15:00,5.57,8.33,25.9,,,
2025-11-29 16:30:00,6.32,8.33,26.1,,,
2025-11-29 16:45:00,7.57,8.36,26.2,,,
2025-11-29 17:00:00,8.47,8.39,26.4,,,
2025-11-29 17:15:00,8.66,8.41,26.5,,,
2025-11-29 17:30:00,8.98,8.4,26.6,,,
2025-11-29 17:45:00,9.5,8.41,26.7,,,
2025-11-29 18:00:00,10.01,8.41,26.8,,,
2025-11-29 18:15:00,10.58,8.42,26.9,,,
2025-11-29 18:30:00,10.75,8.43,26.9,,,
2025-11-29 18:45:00,11.96,8.45,27.1,,,
2025-11-29 19:00:00,12.55,8.46,27.2,,,
2025-11-29 19:15:00,12.13,8.46,27.3,,,
2025-11-29 19:30:00,12.53,8.46,27.3,,,
2025-11-29 19:45:00,12.76,8.46,27.4,,,
2025-11-29 20:00:00,12.7,8.46,27.3,,,
2025-11-29 20:15:00,12.6,8.45,27.3,,,
2025-11-29 20:30:00,12.99,8.47,27.5,,,
2025-11-29 20:45:01,12.87,8.47,27.4,,,
2025-11-29 21:00:00,12.71,8.47,27.4,,,
2025-11-29 21:15:01,13.03,8.48,27.3,,,
2025-11-29 21:30:01,13.61,8.48,27.4,,,
2025-11-29 21:45:01,13.66,8.48,27.4,,,
2025-11-29 22:00:01,13.33,8.48,27.3,,,
2025-11-29 22:15:01,12.81,8.48,27.3,,,
2025-11-29 22:30:01,12.67,8.46,27.2,,,
2025-11-29 22:45:01,12.31,8.46,27.2,,,
2025-11-29 23:00:00,11.82,8.46,27.1,,,
2025-11-29 23:15:01,11.49,8.45,27.1,,,
2025-11-29 23:30:01,11.2,8.45,27.1,,,
2025-11-29 23:45:01,10.72,8.45,27,,,
2025-11-30 00:00:01,10.45,8.43,27,,DO_>10_before_noon,
2025-11-30 00:15:01,10.12,8.43,27,,DO_>10_before_noon,
2025-11-30 00:30:00,9.37,8.43,26.9,,,
2025-11-30 00:45:01,8.88,8.42,26.9,,,
2025-11-30 01:00:01,8.55,8.41,26.9,,,
2025-11-30 01:15:01,8.35,8.4,26.8,,,
2025-11-30 01:30:01,8.12,8.4,26.7,,,
2025-11-30 01:45:01,7.51,8.39,26.7,,,
2025-11-30 02:00:00,7.22,8.37,26.6,,,
2025-11-30 02:15:01,6.86,8.37,26.5,,,
2025-11-30 02:30:01,5.49,8.33,26.4,,,
2025-11-30 02:45:01,5.16,8.33,26.4,,,
2025-11-30 03:00:01,5.02,8.33,26.4,,,
2025-11-30 03:15:01,4.87,8.33,26.3,,,
2025-11-30 03:30:01,4.88,8.33,26.3,,,
2025-11-30 03:45:01,5.01,8.33,26.3,,,
2025-11-30 04:00:01,4.88,8.33,26.3,,,
2025-11-30 04:15:01,4.75,8.33,26.2,,,
2025-11-30 04:30:01,4.6,8.33,26.2,,,
2025-11-30 04:45:01,4.5,8.32,26.2,,,
2025-11-30 05:00:01,4.31,8.32,26.2,,,
2025-11-30 05:15:01,4.13,8.32,26.2,,,
2025-11-30 05:30:01,4.02,8.32,26.1,,,
2025-11-30 05:45:01,3.89,8.32,26.1,,,
2025-11-30 06:00:01,3.71,8.31,26.1,,,
2025-11-30 06:15:01,3.62,8.31,26.1,,,
2025-11-30 06:30:01,3.41,8.31,26,,,
2025-11-30 06:45:01,3.26,8.31,26,,,
2025-11-30 07:00:01,3.16,8.29,26,,,
2025-11-30 07:15:01,3.01,8.29,26,,,
2025-11-30 07:30:01,2.87,8.3,25.9,,,
2025-11-30 07:45:00,2.76,8.3,25.9,,,
2025-11-30 08:00:00,2.59,8.3,25.8,,,
2025-11-30 08:15:00,2.47,8.3,25.8,,,
2025-11-30 08:30:00,2.43,8.29,25.7,,,
2025-11-30 08:45:00,2.28,8.29,25.7,,,
2025-11-30 09:00:00,2.09,8.29,25.7,,,
2025-11-30 09:15:00,1.92,8.28,25.7,,,
2025-11-30 09:30:00,1.88,8.28,25.7,,,
2025-11-30 09:45:00,1.79,8.28,25.7,,,
2025-11-30 10:00:00,1.59,8.28,25.7,,,
2025-11-30 10:15:00,1.53,8.28,25.7,,,
2025-11-30 10:30:00,1.27,8.26,25.7,flyover_window,,
2025-11-30 10:45:00,1.02,8.26,25.7,,,
2025-11-30 11:00:00,1.2,8.26,25.6,,,
2025-11-30 11:15:00,1.14,8.26,25.6,,,
2025-11-30 11:30:00,1.09,8.26,25.6,,,
2025-11-30 11:45:01,1.06,8.26,25.5,,,
2025-11-30 12:00:00,0.99,8.26,25.5,,,
2025-11-30 12:15:01,0.88,8.26,25.5,,,
2025-11-30 12:30:00,0.83,8.26,25.5,,,
2025-11-30 12:45:01,0.84,8.25,25.5,,,
2025-11-30 13:00:01,0.92,8.25,25.4,,,
2025-11-30 13:15:01,0.99,8.25,25.4,,,
2025-11-30 13:30:00,1.11,8.25,25.4,,,
2025-11-30 13:45:01,1.14,8.25,25.4,,,
2025-11-30 14:00:01,1.73,8.25,25.4,,,
2025-11-30 14:15:01,1.87,8.27,25.4,,,
2025-11-30 14:30:01,2.46,8.27,25.4,,,
2025-11-30 14:45:01,2.63,8.27,25.4,,,
2025-11-30 15:00:01,2.78,8.27,25.4,,,
2025-11-30 15:15:01,3.36,8.29,25.4,,,
2025-11-30 15:30:01,3.43,8.28,25.4,,,
2025-11-30 15:45:00,3.7,8.28,25.5,,,
2025-11-30 16:00:01,4.57,8.3,25.6,,,
2025-11-30 16:15:01,4.45,8.3,25.6,,,
2025-11-30 16:30:01,4.84,8.3,25.6,,,
2025-11-30 16:45:01,5.03,8.3,25.6,,,
2025-11-30 17:00:01,5,8.31,25.6,,,
2025-11-30 17:15:01,4.83,8.31,25.6,,,
2025-11-30 17:30:01,4.75,8.31,25.6,,,
2025-11-30 17:45:01,4.77,8.31,25.6,,,
2025-11-30 18:00:01,4.65,8.3,25.6,,,
2025-11-30 18:15:01,4.81,8.3,25.6,,,
2025-11-30 18:30:01,5.25,8.31,25.6,,,
2025-11-30 18:45:01,5.31,8.33,25.6,,,
2025-11-30 19:00:01,5.11,8.31,25.6,,,
2025-11-30 19:15:01,5.11,8.31,25.6,,,
2025-11-30 19:30:01,5.12,8.32,25.6,,,
2025-11-30 19:45:01,5.25,8.32,25.6,,,
2025-11-30 20:00:01,5.55,8.32,25.7,,,
2025-11-30 20:15:01,5.99,8.32,25.7,,,
2025-11-30 20:30:01,6.56,8.34,25.7,,,
2025-11-30 20:45:01,6.08,8.32,25.7,,,
2025-11-30 21:00:01,6.13,8.33,25.7,,,
2025-11-30 21:15:01,6.13,8.33,25.7,,,
