Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-11-30 05:00:02,5.7,0,27.4,,,pH_out_of_range; pH_jump_>1
2025-11-30 05:15:00,5.59,6.94,27.2,,,pH_jump_>1
2025-11-30 05:30:00,5.48,6.97,27.3,,,
2025-11-30 05:45:00,5.36,7,27.4,,,
2025-11-30 06:00:00,5.22,7.05,27.5,,,
2025-11-30 06:15:00,5.05,7.1,27.6,,,
2025-11-30 06:30:00,4.85,7.18,27.7,,,
2025-11-30 06:45:00,4.6,7.25,27.9,,,
2025-11-30 07:00:00,4.32,7.33,27.9,,,
2025-11-30 07:15:00,4.05,7.4,27.9,,,
2025-11-30 07:30:00,3.78,7.48,28.2,,,
2025-11-30 07:45:00,3.52,7.55,28.2,,,
2025-11-30 08:00:00,3.28,7.6,28.2,,,
2025-11-30 08:15:00,3.05,7.65,28.5,,,
2025-11-30 08:30:00,2.82,7.7,28.5,,,
2025-11-30 08:45:00,2.6,7.74,28.5,,,
2025-11-30 09:00:00,2.4,7.77,28.5,,,
2025-11-30 09:15:00,2.2,7.79,28.2,,,
2025-11-30 09:30:00,2.02,7.8,27.5,,,
2025-11-30 09:45:00,1.85,7.81,27.2,,,
2025-11-30 10:00:00,1.68,7.81,27.2,,,
2025-11-30 10:15:00,1.52,7.81,26.8,,,
2025-11-30 10:30:00,1.5,7.81,26.8,flyover_window,,
2025-11-30 10:45:00,1.48,7.81,26.8,,,
2025-11-30 11:00:00,1.46,7.81,26.8,,,
2025-11-30 11:15:00,1.45,7.81,26.8,,,
2025-11-30 11:30:00,1.44,7.81,26.8,,,
2025-11-30 11:45:00,1.43,7.81,26.8,,,
2025-11-30 12:00:00,1.42,7.81,26.8,,,
2025-11-30 12:15:00,1.41,7.81,26.8,,,
2025-11-30 12:30:00,1.4,7.81,26.8,,,
2025-11-30 12:45:00,1.39,7.81,26.8,,,
2025-11-30 13:00:00,1.38,7.81,26.8,,,
2025-11-30 13:15:00,1.36,7.81,26.8,,,
2025-11-30 13:30:00,1.34,7.81,26.7,,,
2025-11-30 13:45:00,1.29,7.8,26.7,,,
2025-11-30 14:00:00,1.56,7.8,26.7,,,
2025-11-30 14:15:00,1.61,7.8,26.8,,,
2025-11-30 14:30:00,1.94,7.8,26.8,,,
2025-11-30 14:45:00,2,7.8,26.8,,,
2025-11-30 15:00:00,2.08,7.8,26.8,,,
2025-11-30 15:15:00,2.12,7.8,26.8,,,
2025-11-30 15:30:00,2.25,7.81,26.8,,,
2025-11-30 15:45:00,2.44,7.8,26.8,,,
2025-11-30 16:00:00,2.82,7.83,26.9,,,
2025-11-30 16:15:00,2.93,7.83,26.8,,,
2025-11-30 16:30:01,3.1,7.84,26.8,,,
2025-11-30 16:45:01,3.06,7.84,26.8,,,
2025-11-30 17:00:01,3.15,7.85,26.8,,,
2025-11-30 17:15:01,3.14,7.85,26.8,,,
2025-11-30 17:30:01,3.05,7.85,26.8,,,
2025-11-30 17:45:01,3.32,7.85,26.8,,,
2025-11-30 18:00:01,3.13,7.85,26.8,,,
2025-11-30 18:15:01,3.01,7.85,26.8,,,
2025-11-30 18:30:01,3.1,7.86,26.8,,,
2025-11-30 18:45:01,3.42,7.87,26.8,,,
2025-11-30 19:00:01,2.92,7.84,26.8,,,
2025-11-30 19:15:01,3.24,7.86,26.8,,,
2025-11-30 19:30:01,2.96,7.86,26.8,,,
2025-11-30 19:45:01,3.2,7.86,26.9,,,
2025-11-30 20:00:01,3.04,7.86,26.9,,,
2025-11-30 20:15:01,3.71,7.88,26.9,,,
2025-11-30 20:30:01,3.95,7.9,26.9,,,
2025-11-30 20:45:01,4.06,7.9,26.9,,,
2025-11-30 21:00:01,4,7.9,26.9,,,
2025-11-30 21:15:01,3.72,7.9,26.9,,,
2025-11-30 21:30:01,3.47,7.88,26.9,,,
2025-11-30 21:45:01,3.49,7.88,26.9,,,
2025-11-30 22:00:01,3.41,7.9,26.8,,,
2025-11-30 22:15:01,3.34,7.89,26.9,,,
2025-11-30 22:30:00,3.28,7.89,26.9,,,
2025-11-30 22:45:00,3.26,7.89,26.9,,,
2025-11-30 23:00:00,3.08,7.89,26.8,,,
2025-11-30 23:15:00,2.93,7.89,26.8,,,
2025-11-30 23:30:00,2.94,7.88,26.8,,,
2025-11-30 23:45:00,2.74,7.86,26.8,,,
2025-12-01 00:00:00,2.6,7.86,26.8,,,
2025-12-01 00:15:00,2.47,7.86,26.8,,,
2025-12-01 00:30:00,2.34,7.86,26.7,,,
2025-12-01 00:45:00,2.33,7.86,26.8,,,
2025-12-01 01:00:00,2.22,7.86,26.8,,,
2025-12-01 01:15:00,1.99,7.83,26.7,,,
2025-12-01 01:30:00,1.84,7.83,26.8,,,
2025-12-01 01:45:01,1.71,7.83,26.7,,,
2025-12-01 02:00:01,1.71,7.82,26.7,,,
2025-12-01 02:15:01,1.6,7.81,26.7,,,
2025-12-01 02:30:01,1.58,7.81,26.7,,,
2025-12-01 02:45:01,1.4,7.81,26.7,,,
2025-12-01 03:00:01,1.16,7.8,26.7,,,
2025-12-01 03:15:01,1.05,7.8,26.7,,,
2025-12-01 03:30:01,1.09,7.8,26.7,,,
2025-12-01 03:45:01,1.02,7.8,26.7,,,
2025-12-01 04:00:01,0.8,7.77,26.7,,,
2025-12-01 04:15:01,0.72,7.79,26.7,,,
2025-12-01 04:30:01,0.65,7.78,26.7,,,
2025-12-01 04:45:01,0.58,7.78,26.6,,,
2025-12-01 05:00:01,0.61,7.78,26.6,,,
2025-12-01 05:15:01,0.64,7.78,26.6,,,
2025-12-01 05:30:01,0.54,7.78,26.6,,,
2025-12-01 05:45:01,0.38,7.78,26.5,,,
2025-12-01 06:00:01,0.36,7.78,26.5,,,
2025-12-01 06:15:01,0.37,7.78,26.5,,,
2025-12-01 06:30:01,0.27,7.78,26.5,,,
2025-12-01 06:45:01,0.22,7.78,26.5,,,
2025-12-01 07:00:01,0.22,7.78,26.5,,,
2025-12-01 07:15:01,0.19,7.78,26.5,,,
2025-12-01 07:30:01,0.19,7.78,26.4,,,
2025-12-01 07:45:01,0.19,7.78,26.4,,,
2025-12-01 08:00:01,0.18,7.78,26.4,,,
2025-12-01 08:15:01,0.14,7.78,26.4,,,
2025-12-01 08:30:01,0.01,7.78,26.4,,DO_<0.1,
2025-12-01 08:45:01,0.07,7.78,26.4,,DO_<0.1,
2025-12-01 09:00:01,0,7.78,26.4,,DO_<0.1,
2025-12-01 09:15:01,0.07,7.78,26.3,,DO_<0.1,
