Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-11-29 16:15:01,11.71,8.79,26.8,,,
2025-11-29 16:30:01,12.43,8.79,26.8,,DO_jump_>2,
2025-11-29 16:45:01,9.05,8.92,28.4,,DO_jump_>2,pH_jump_>1
2025-11-29 17:00:06,0,0,0,,DO_<0.1; DO_jump_>2,pH_out_of_range; pH_jump_>1
2025-11-29 17:15:06,0,0,0,,DO_<0.1; DO_jump_>2,pH_out_of_range; pH_jump_>1
2025-11-29 17:30:01,13.18,9.01,26.5,,DO_jump_>2,pH_jump_>1
2025-11-29 17:45:01,14.13,9,26.6,,,
2025-11-29 18:00:01,14.32,9.01,26.6,,,
2025-11-29 18:15:01,14.79,9.02,26.7,,,
2025-11-29 18:30:01,14.95,9.02,26.7,,,
2025-11-29 18:45:01,15.33,9.02,26.8,,,
2025-11-29 19:00:01,15.68,9.02,26.8,,,
2025-11-29 19:15:00,16.29,9.02,26.9,,,
2025-11-29 19:30:00,16.33,9.02,27,,,
2025-11-29 19:45:00,16.59,9.02,27.1,,,
2025-11-29 20:00:00,16.86,9.03,27.1,,,
2025-11-29 20:15:00,17.19,9.03,27.1,,,
2025-11-29 20:30:00,17.26,9.04,27.2,,,
2025-11-29 20:45:00,17.13,9.02,27.2,,,
2025-11-29 21:00:00,17.2,9.04,27.2,,,
2025-11-29 21:15:00,17.18,9.04,27.2,,,
2025-11-29 21:30:00,17.2,9.04,27.2,,,
2025-11-29 21:45:00,17.09,9.04,27.2,,,
2025-11-29 22:00:00,17.56,9.04,27.1,,,
2025-11-29 22:15:01,17.99,9.08,27.2,,,
2025-11-29 22:30:01,17.73,9.07,27.2,,,
2025-11-29 22:45:01,18.13,9.07,27.2,,,
2025-11-29 23:00:01,18.14,9.08,27.1,,,
2025-11-29 23:15:01,17.81,9.08,27.1,,,
2025-11-29 23:30:01,17.12,9.07,27,,,
2025-11-29 23:45:01,16.26,9.07,26.9,,,
2025-11-30 00:00:01,16.31,9.07,27,,DO_>10_before_noon,
2025-11-30 00:15:01,16.25,9.06,26.9,,DO_>10_before_noon,
2025-11-30 00:30:01,15.9,9.06,26.9,,DO_>10_before_noon,
2025-11-30 00:45:01,15.41,9.06,26.9,,DO_>10_before_noon,
2025-11-30 01:00:01,14.96,9.06,26.8,,DO_>10_before_noon,
2025-11-30 01:15:01,14.56,9.06,26.8,,DO_>10_before_noon,
2025-11-30 01:30:01,14.38,9.06,26.7,,DO_>10_before_noon,
2025-11-30 01:45:01,14.02,9.05,26.7,,DO_>10_before_noon,
2025-11-30 02:00:01,13.83,9.05,26.7,,DO_>10_before_noon,
2025-11-30 02:15:01,13.53,9.05,26.6,,DO_>10_before_noon,
2025-11-30 02:30:01,13.27,9.05,26.6,,DO_>10_before_noon,
2025-11-30 02:45:01,12.93,9.05,26.6,,DO_>10_before_noon,
2025-11-30 03:00:01,12.75,9.05,26.6,,DO_>10_before_noon,
2025-11-30 03:15:01,12.56,9.05,26.6,,DO_>10_before_noon,
2025-11-30 03:30:01,12.6,9.05,26.6,,DO_>10_before_noon,
2025-11-30 03:45:01,12.22,9.05,26.5,,DO_>10_before_noon,
2025-11-30 04:00:01,11.99,9.05,26.6,,DO_>10_before_noon,
2025-11-30 04:15:01,11.72,9.04,26.5,,DO_>10_before_noon,
2025-11-30 04:30:00,11.17,9.02,26.4,,DO_>10_before_noon,
2025-11-30 04:45:01,10.63,9.03,26.4,,DO_>10_before_noon,
2025-11-30 05:00:00,10.66,9.03,26.4,,DO_>10_before_noon,
2025-11-30 05:15:00,10.64,9.02,26.4,,DO_>10_before_noon,
2025-11-30 05:30:00,10.52,9.02,26.4,,DO_>10_before_noon,
2025-11-30 05:45:01,10.07,9.02,26.3,,DO_>10_before_noon,
2025-11-30 06:00:00,10.06,9.02,26.3,,DO_>10_before_noon,
2025-11-30 06:15:00,9.89,9.02,26.3,,,
2025-11-30 06:30:01,9.85,9.04,26.3,,,
2025-11-30 06:45:00,9.88,9.04,26.3,,,
2025-11-30 07:00:00,9.65,9.03,26.3,,,
2025-11-30 07:15:01,9.42,9.03,26.2,,,
2025-11-30 07:30:01,9.28,9.03,26.2,,,
2025-11-30 07:45:01,8.96,9.03,26.2,,,
2025-11-30 08:00:01,8.9,9.03,26.2,,,
2025-11-30 08:15:01,8.8,9.03,26.2,,,
2025-11-30 08:30:01,8.49,9.01,26.1,,,
2025-11-30 08:45:01,8.43,9.02,26.1,,,
2025-11-30 09:00:01,8.17,9.02,26.1,,,
2025-11-30 09:15:01,7.99,9.02,26,,,
2025-11-30 09:30:01,7.86,9.02,26,,,
2025-11-30 09:45:01,7.63,9.01,25.9,,,
2025-11-30 10:00:01,7.43,9.01,25.9,,,
2025-11-30 10:15:01,7.28,9.01,25.9,,,
2025-11-30 10:30:01,7.15,9.01,25.9,flyover_window,,
2025-11-30 10:45:01,6.96,9.01,25.9,,,
2025-11-30 11:00:01,6.76,9.01,25.8,,,
2025-11-30 11:15:01,6.65,9.01,25.8,,,
2025-11-30 11:30:01,6.41,9,25.8,,,
2025-11-30 11:45:01,6.34,9,25.7,,,
2025-11-30 12:00:01,6.18,9,25.7,,,
2025-11-30 12:15:01,6.03,9,25.7,,,
2025-11-30 12:30:01,6.02,9,25.7,,,
2025-11-30 12:45:01,5.7,9,25.6,,,
2025-11-30 13:00:01,5.67,9,25.6,,,
2025-11-30 13:15:01,5.48,9,25.6,,,
2025-11-30 13:30:01,5.39,9,25.6,,,
2025-11-30 13:45:01,5.53,9,25.6,,,
2025-11-30 14:00:01,5.84,9,25.6,,,
2025-11-30 14:15:01,6.15,9,25.6,,,
2025-11-30 14:30:01,6.53,9,25.6,,,
2025-11-30 14:45:01,6.84,9,25.6,,,
2025-11-30 15:00:01,7.12,9,25.6,,,
2025-11-30 15:15:01,6.88,9,25.6,,,
2025-11-30 15:30:01,6.84,9,25.6,,,
2025-11-30 15:45:01,7.14,9,25.6,,,
2025-11-30 16:00:01,7.52,9,25.7,,,
2025-11-30 16:15:01,7.89,9,25.7,,,
2025-11-30 16:30:01,7.88,9,25.7,,,
2025-11-30 16:45:01,7.93,9,25.7,,,
2025-11-30 17:00:01,7.88,9,25.7,,,
2025-11-30 17:15:01,8.07,9,25.7,,,
2025-11-30 17:30:01,7.91,9,25.7,,,
2025-11-30 17:45:01,7.95,9,25.6,,,
2025-11-30 18:00:01,7.91,9,25.7,,,
2025-11-30 18:15:01,8,9,25.6,,,
2025-11-30 18:30:01,8.11,9.01,25.6,,,
2025-11-30 18:45:01,8.22,9,25.7,,,
2025-11-30 19:00:01,8.68,9,25.7,,,
2025-11-30 19:15:01,8.8,9,25.7,,,
2025-11-30 19:30:01,8.61,9,25.7,,,
2025-11-30 19:45:01,9.31,9.01,25.7,,,
2025-11-30 20:00:01,9.63,9.01,25.7,,,
2025-11-30 20:15:01,10.16,9.01,25.7,,,
2025-11-30 20:30:01,10.25,9.02,25.7,,,
2025-11-30 20:45:01,10.21,9.02,25.7,,,
2025-11-30 21:00:01,10.11,9.02,25.7,,,
2025-11-30 21:15:01,10.04,9.02,25.7,,,
2025-11-30 21:30:01,9.83,9.02,25.7,,,
2025-11-30 21:45:01,9.68,9.02,25.7,,,
2025-11-30 22:00:01,8.57,9.02,25.7,,,
2025-11-30 22:15:01,9.33,9.02,25.7,,,
2025-11-30 22:30:01,9.26,9.02,25.7,,,
2025-11-30 22:45:01,9.09,9.02,25.7,,,
2025-11-30 23:00:01,8.87,9.02,25.7,,,
2025-11-30 23:15:01,8.84,9.02,25.7,,,
2025-11-30 23:30:01,8.61,9.02,25.7,,,
2025-11-30 23:45:01,8.41,9.02,25.6,,,
2025-12-01 00:00:01,8.25,9.01,25.6,,,
2025-12-01 00:15:01,8.12,9.01,25.6,,,
2025-12-01 00:30:01,8.36,9.01,25.6,,,
2025-12-01 00:45:01,8.23,9.01,25.6,,,
2025-12-01 01:00:01,8.14,9.01,25.6,,,
2025-12-01 01:15:01,8,9.01,25.6,,,
2025-12-01 01:30:01,7.79,8.99,25.6,,,
2025-12-01 01:45:01,7.66,8.99,25.6,,,
2025-12-01 02:00:01,7.49,8.99,25.6,,,
2025-12-01 02:15:01,7.31,8.99,25.5,,,
2025-12-01 02:30:01,7.13,8.99,25.5,,,
2025-12-01 02:45:01,6.92,8.99,25.5,,,
2025-12-01 03:00:01,6.72,8.99,25.5,,,
2025-12-01 03:15:01,6.54,8.97,25.5,,,
2025-12-01 03:30:01,6.39,8.97,25.5,,,
2025-12-01 03:45:01,6.25,8.98,25.5,,,
2025-12-01 04:00:01,6.1,8.98,25.5,,,
2025-12-01 04:15:01,5.92,8.96,25.4,,,
2025-12-01 04:30:02,5.75,8.97,25.4,,,
2025-12-01 04:45:02,5.61,8.97,25.4,,,
2025-12-01 05:00:01,5.52,8.97,25.4,,,
2025-12-01 05:15:02,5.42,8.97,25.4,,,
2025-12-01 05:30:02,5.33,8.97,25.4,,,
2025-12-01 05:45:02,5.22,8.97,25.4,,,
2025-12-01 06:00:02,5.14,8.97,25.3,,,
2025-12-01 06:15:02,5.04,8.97,25.3,,,
2025-12-01 06:30:02,4.92,8.97,25.3,,,
2025-12-01 06:45:02,4.79,8.97,25.3,,,
