Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-17 05:30:00,4.61,8.35,25.3,,,
2025-12-17 05:45:00,4.59,8.35,25.3,,,
2025-12-17 06:00:00,4.68,8.35,25.3,,,
2025-12-17 06:15:00,4.68,8.35,25.3,,,
2025-12-17 06:30:00,4.6,8.35,25.2,,,
2025-12-17 06:45:00,4.44,8.34,25.3,,,
2025-12-17 07:00:00,4.28,8.34,25.2,,,
2025-12-17 07:15:00,4.22,8.34,25.2,,,
2025-12-17 07:30:00,3.87,8.32,25.2,,,
2025-12-17 07:45:00,3.94,8.32,25.2,,,
2025-12-17 08:00:00,3.91,8.32,25.2,,,
2025-12-17 08:15:00,4.62,8.34,25.2,,,
2025-12-17 08:30:00,5.39,8.37,25.3,,,
2025-12-17 08:45:00,5.7,8.38,25.3,,DO_jump_>2,
2025-12-17 09:00:00,8.66,7.88,24.1,,DO_jump_>2,
2025-12-17 09:15:00,6.87,8.43,25.5,,,
2025-12-17 09:30:00,6.63,8.41,25.5,,,
2025-12-17 09:45:00,6.83,8.45,25.6,,,
2025-12-17 10:00:00,6.49,8.45,25.7,,,
2025-12-17 10:15:00,6.95,8.43,25.7,,,
2025-12-17 10:30:00,7.03,8.43,26.1,flyover_window,,
2025-12-17 10:45:00,6.88,8.43,26,,,
2025-12-17 11:00:00,8.13,8.49,26.1,,,
2025-12-17 11:15:00,7.38,8.44,26.2,,,
2025-12-17 11:30:00,8,8.46,26.2,time_gap_>20min,,
2025-12-17 12:30:00,7.98,8.46,26.6,time_gap_>20min,DO_jump_>2,
2025-12-17 12:45:00,10.93,8.55,27.1,,DO_jump_>2,
2025-12-17 13:00:00,11.38,8.57,27.6,,,
2025-12-17 13:15:00,11.08,8.53,27,,DO_jump_>2,
2025-12-17 13:30:00,14.49,8.59,27.5,,DO_jump_>2,
2025-12-17 13:45:00,15.19,8.65,27.3,,,
2025-12-17 14:00:00,16.26,8.66,27.2,,,
2025-12-17 14:15:00,17.09,8.68,26.9,,,
2025-12-17 14:30:00,17.3,8.69,27,,,
2025-12-17 14:45:00,17.83,8.7,27,,,
2025-12-17 15:00:00,17.13,8.71,27,,,
2025-12-17 15:15:00,18.39,8.7,27.1,,,
2025-12-17 15:30:00,18.91,8.71,27.2,,,
2025-12-17 15:45:00,18.73,8.69,27.2,,,
2025-12-17 16:00:00,18.64,8.73,27.1,time_gap_>20min,,
2025-12-17 16:45:00,16.8,8.68,26.9,time_gap_>20min,,
2025-12-17 17:30:00,16.6,8.68,26.8,time_gap_>20min,,
2025-12-17 17:45:00,16.38,8.68,26.8,,,
2025-12-17 18:00:00,15.83,8.66,26.7,,,
2025-12-17 18:15:00,14.75,8.64,26.6,,,
2025-12-17 18:30:00,14.68,8.64,26.6,,,
2025-12-17 18:45:00,14.06,8.62,26.6,,,
2025-12-17 19:00:00,13.09,8.6,26.5,,,
2025-12-17 19:15:00,13.15,8.61,26.4,,,
2025-12-17 19:30:00,12.93,8.61,26.4,,,
2025-12-17 19:45:00,12.36,8.58,26.3,,,
2025-12-17 20:00:00,11.89,8.57,26.3,,,
2025-12-17 20:15:00,11.82,8.58,26.3,,,
2025-12-17 20:30:00,11.54,8.56,26.2,,,
2025-12-17 20:45:00,11.05,8.56,26.2,,,
2025-12-17 21:00:00,11.05,8.56,26.2,,,
2025-12-17 21:15:00,11.02,8.56,26.2,,,
2025-12-17 21:30:00,10.9,8.56,26.1,,,
2025-12-17 21:45:00,10.82,8.55,26.1,,,
2025-12-17 22:00:00,10.36,8.53,26.1,,,
2025-12-17 22:15:00,10.51,8.56,26.1,,,
2025-12-17 22:30:00,10.64,8.56,26.1,,,
2025-12-17 22:45:00,10.69,8.56,26,,,
