Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-13 23:30:00,16.9,8.96,25.4,,,
2025-12-13 23:45:00,16.77,8.96,25.4,,,
2025-12-14 00:00:00,16.73,8.92,25.2,,DO_>10_before_noon,
2025-12-14 00:15:00,16.52,8.9,25.1,,DO_>10_before_noon,
2025-12-14 00:30:00,16.34,8.9,25.1,,DO_>10_before_noon,
2025-12-14 00:45:00,16.18,8.91,25.1,time_gap_>20min,DO_>10_before_noon,
2025-12-14 01:15:00,15.88,8.9,25,time_gap_>20min,DO_>10_before_noon,
2025-12-14 01:30:00,15.76,8.9,25,,DO_>10_before_noon,
2025-12-14 01:45:00,15.63,8.9,24.9,time_gap_>20min,DO_>10_before_noon,
2025-12-14 02:15:00,15.36,8.9,24.8,time_gap_>20min,DO_>10_before_noon,
2025-12-14 02:30:00,15.19,8.9,24.8,,DO_>10_before_noon,
2025-12-14 02:45:00,15.08,8.88,24.7,,DO_>10_before_noon,
2025-12-14 03:00:00,14.91,8.88,24.7,,DO_>10_before_noon,
2025-12-14 03:15:00,14.76,8.88,24.7,,DO_>10_before_noon,
2025-12-14 03:30:00,14.68,8.88,24.6,,DO_>10_before_noon,
2025-12-14 03:45:00,14.51,8.88,24.6,,DO_>10_before_noon,
2025-12-14 04:00:00,14.39,8.84,24.5,,DO_>10_before_noon,
2025-12-14 04:15:00,14.14,8.84,24.5,,DO_>10_before_noon,
2025-12-14 04:30:00,13.94,8.84,24.4,,DO_>10_before_noon,
2025-12-14 04:45:00,13.12,8.84,24.4,,DO_>10_before_noon,
2025-12-14 05:00:00,12.9,8.84,24.4,,DO_>10_before_noon,
2025-12-14 05:15:00,12.69,8.84,24.4,,DO_>10_before_noon,
2025-12-14 05:30:00,12.43,8.83,24.4,,DO_>10_before_noon,
2025-12-14 05:45:00,12.26,8.82,24.3,,DO_>10_before_noon,
2025-12-14 06:00:00,11.9,8.81,24.3,,DO_>10_before_noon,
2025-12-14 06:15:00,11.58,8.79,24.3,,DO_>10_before_noon,
2025-12-14 06:30:00,11.22,8.79,24.3,,DO_>10_before_noon,
2025-12-14 06:45:00,11.05,8.79,24.2,,DO_>10_before_noon,
2025-12-14 07:00:00,11.03,8.8,24.2,,DO_>10_before_noon,
2025-12-14 07:15:00,10.8,8.8,24.2,,DO_>10_before_noon,
2025-12-14 07:30:00,10.67,8.78,24.1,,DO_>10_before_noon,
2025-12-14 07:45:00,10.37,8.78,24.1,,DO_>10_before_noon,
2025-12-14 08:00:00,10.32,8.78,24.1,,DO_>10_before_noon,
2025-12-14 08:15:00,10.37,8.78,24.1,,DO_>10_before_noon,
2025-12-14 08:30:00,10.57,8.79,24.2,,DO_>10_before_noon,
2025-12-14 08:45:00,10.71,8.81,24.2,,DO_>10_before_noon,
2025-12-14 09:00:00,10.8,8.81,24.3,,DO_>10_before_noon,
2025-12-14 09:15:00,11.15,8.81,24.3,,DO_>10_before_noon,
2025-12-14 09:30:00,10.83,8.77,24.2,,DO_>10_before_noon,
2025-12-14 09:45:00,10.79,8.75,24.3,,DO_>10_before_noon,
2025-12-14 10:00:00,10.91,8.74,24.4,,DO_>10_before_noon,
2025-12-14 10:15:00,12.31,8.8,24.7,,DO_>10_before_noon,
2025-12-14 10:30:00,12.62,8.79,24.8,flyover_window,DO_>10_before_noon,
2025-12-14 10:45:00,13.45,8.79,25,,DO_>10_before_noon,
2025-12-14 11:00:00,13.86,8.8,25.2,,DO_>10_before_noon,
2025-12-14 11:15:00,14.23,8.84,25.5,,DO_>10_before_noon,
2025-12-14 11:30:00,14.77,8.86,25.7,,DO_>10_before_noon,
2025-12-14 11:45:00,15.69,8.88,25.9,,DO_>10_before_noon,
2025-12-14 12:00:00,16.59,8.9,26.1,,,
2025-12-14 12:15:00,17.03,8.9,26.3,,,
2025-12-14 12:30:00,17.56,8.92,26.3,,,
2025-12-14 12:45:00,18.01,8.94,26.7,,,
2025-12-14 13:00:00,17.16,8.94,26.7,,DO_jump_>2,
2025-12-14 13:15:00,14.72,8.94,26.8,,DO_jump_>2,
2025-12-14 13:30:00,16.48,8.95,26.9,,,
2025-12-14 13:45:00,17.77,8.97,27,,,
2025-12-14 14:00:00,18.07,8.97,27.2,,,
2025-12-14 14:15:00,19.13,8.98,27.3,,,
2025-12-14 14:30:00,19.41,8.99,27.4,time_gap_>20min,,
2025-12-14 15:00:00,20.49,9.02,27.4,time_gap_>20min,,
2025-12-14 15:15:00,20.52,9.01,27.4,,,
2025-12-14 15:30:00,20.02,9.01,27.3,,,
2025-12-14 15:45:00,19.33,9.02,27.3,,,
