Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-13 16:30:05,19.86,7.85,27,,DO_jump_>2,
2025-12-13 16:45:05,7.34,7.9,25.8,,DO_jump_>2,
2025-12-13 17:00:05,18.35,7.95,26.1,,DO_jump_>2,
2025-12-13 17:15:05,18.25,8,25.9,,,
2025-12-13 17:30:05,19.27,8.05,25.8,,,
2025-12-13 17:45:05,18.17,8.1,25.7,,,
2025-12-13 18:00:05,18.94,8.2,25.7,,,
2025-12-13 18:15:05,19.33,8.25,25.8,,,
2025-12-13 18:30:05,18.23,8.3,25.7,,,
2025-12-13 18:45:05,17.7,8.35,25.6,,,
2025-12-13 19:00:05,17.32,8.4,25.6,,,
2025-12-13 19:15:05,16.87,8.45,25.6,,,
2025-12-13 19:30:05,16.72,8.5,25.5,,,
2025-12-13 19:45:05,16.31,8.45,25.5,,,
2025-12-13 20:00:05,16.29,8.4,25.4,,,
2025-12-13 20:15:05,16.13,8.35,25.4,,,
2025-12-13 20:30:05,15.94,8.3,25.4,,,
2025-12-13 20:45:05,15.44,8.25,25.4,,,
2025-12-13 21:00:05,15.19,8.2,25.4,,,
2025-12-13 21:15:05,15.01,8.15,25.4,,,
2025-12-13 21:30:05,14.82,8.1,25.3,,,
2025-12-13 21:45:05,14.54,8.05,25.3,,,
2025-12-13 22:00:05,14.38,8,25.2,,,
2025-12-13 22:15:05,14.08,7.95,25.3,,,
2025-12-13 22:30:05,13.9,7.9,25.2,,,
2025-12-13 22:45:05,13.74,7.88,25.2,,,
2025-12-13 23:00:05,13.5,7.85,25.2,,,
2025-12-13 23:15:05,13.34,7.83,25.1,,,
2025-12-13 23:30:05,13.27,7.82,25.1,,,
2025-12-13 23:45:05,13.01,7.8,25.1,,,
2025-12-14 00:00:05,13.12,7.82,25.1,,DO_>10_before_noon,
2025-12-14 00:15:05,12.84,7.85,25.1,,DO_>10_before_noon,
2025-12-14 00:30:05,12.57,7.88,25,,DO_>10_before_noon,
2025-12-14 00:45:05,12.35,7.86,25,,DO_>10_before_noon,
2025-12-14 01:00:05,12.26,7.85,25,,DO_>10_before_noon,
2025-12-14 01:15:05,12.16,7.84,25,,DO_>10_before_noon,
2025-12-14 01:30:05,11.96,7.83,25,,DO_>10_before_noon,
2025-12-14 01:45:05,11.8,7.82,25,,DO_>10_before_noon,
2025-12-14 02:00:05,11.73,7.81,25,,DO_>10_before_noon,
2025-12-14 02:15:05,11.62,7.8,24.9,,DO_>10_before_noon,
2025-12-14 02:30:05,11.5,7.8,24.9,,DO_>10_before_noon,
