Date/Time (IST),DO (mg/L),pH,Temperature (°C),QC_Flag_DateTime,QC_Flag_DO,QC_Flag_pH
2025-12-14 01:15:00,7.14,8.46,25.4,,,
2025-12-14 01:30:00,6.78,8.44,25.4,,,
2025-12-14 01:45:00,6.24,8.43,25.4,,,
2025-12-14 02:00:00,6.45,8.43,25.4,,,
2025-12-14 02:15:00,6.14,8.42,25.3,,,
2025-12-14 02:30:00,5.85,8.43,25.3,,,
2025-12-14 02:45:00,5.19,8.39,25.3,,,
2025-12-14 03:00:00,5.22,8.37,25.2,,,
2025-12-14 03:15:00,5.07,8.37,25.2,,,
2025-12-14 03:30:00,4.77,8.36,25.2,,,
2025-12-14 03:45:00,4.54,8.36,25.2,,,
2025-12-14 04:00:00,4.16,8.34,25.2,,,
2025-12-14 04:15:00,4.42,8.34,25.2,,,
2025-12-14 04:30:00,3.49,8.32,25.2,,,
2025-12-14 04:45:00,3.84,8.33,25.2,,,
2025-12-14 05:00:00,3.56,8.31,25.2,,,
2025-12-14 05:15:00,3.52,8.31,25.1,,,
2025-12-14 05:30:00,3.23,8.31,25.1,,,
2025-12-14 05:45:00,3.2,8.31,25.1,,,
2025-12-14 06:00:00,2.88,8.29,25.1,,,
2025-12-14 06:15:00,3.31,8.31,25.1,,,
2025-12-14 06:30:00,3.43,8.31,25,,,
2025-12-14 06:45:00,2.24,8.28,25,,,
2025-12-14 07:00:00,2.79,8.29,25,,,
2025-12-14 07:15:00,2.96,8.29,25,,,
2025-12-14 07:30:00,3.12,8.31,25,,,
2025-12-14 07:45:00,3.14,8.31,25,,,
2025-12-14 08:00:00,3.67,8.33,25,,,
2025-12-14 08:15:00,4.09,8.32,25.1,,,
2025-12-14 08:30:00,4.25,8.34,25.1,,,
2025-12-14 08:45:00,3.6,8.32,25.1,,,
2025-12-14 09:00:00,4.89,8.38,25.3,,,
2025-12-14 09:15:00,5.72,8.38,25.4,,,
2025-12-14 09:30:00,5.16,8.34,25.5,,,
2025-12-14 09:45:00,4.73,8.36,25.6,,,
2025-12-14 10:00:00,4.68,8.34,25.7,,,
2025-12-14 10:15:00,5.99,8.36,25.7,,,
2025-12-14 10:30:00,6.21,8.38,25.6,flyover_window,,
2025-12-14 10:45:00,6.09,8.38,25.7,,,
2025-12-14 11:00:00,6.66,8.37,25.9,,,
2025-12-14 11:15:00,7.95,8.44,25.9,,,
2025-12-14 11:30:00,8.53,8.47,26.1,,,
2025-12-14 11:45:00,8.15,8.49,26.1,,DO_jump_>2,
2025-12-14 12:00:00,3.94,8.49,26.3,,DO_jump_>2,
2025-12-14 12:15:00,11.7,8.55,26.7,,DO_jump_>2,
2025-12-14 12:30:00,12.94,8.59,27,,,
2025-12-14 12:45:00,14.25,8.62,26.9,,,
2025-12-14 13:00:00,15.75,8.66,27,,,
2025-12-14 13:15:00,15.11,8.67,27.1,,,
2025-12-14 13:30:00,15.51,8.67,27.2,,,
2025-12-14 13:45:00,17.16,8.7,27.4,,,
2025-12-14 14:00:00,17.38,8.69,27.4,,DO_jump_>2,
2025-12-14 14:15:00,19.87,8.78,27.5,,DO_jump_>2,
2025-12-14 14:30:00,19.97,8.76,27.5,,,
2025-12-14 14:45:00,18.89,8.76,27.4,,,
2025-12-14 15:00:00,19.06,8.75,27.3,,,
2025-12-14 15:15:00,18.83,8.75,27.2,,,
2025-12-14 15:30:00,18.78,8.73,27.2,,,
2025-12-14 15:45:00,19.24,8.76,27.2,,,
2025-12-14 16:00:00,19.26,8.77,27.2,,,
2025-12-14 16:15:00,19.12,8.77,27.2,,,
2025-12-14 16:30:00,19.58,8.77,27.2,,,
2025-12-14 16:45:00,19.27,8.76,27.1,,,
2025-12-14 17:00:00,18.41,8.76,27,,,
2025-12-14 17:15:00,18.03,8.74,27,,,
2025-12-14 17:30:00,17.21,8.74,26.9,,,
2025-12-14 17:45:00,16.89,8.73,26.9,time_gap_>20min,,
2025-12-14 18:15:00,17.56,8.72,26.8,time_gap_>20min,,
2025-12-14 18:30:00,16.71,8.7,26.7,,,
2025-12-14 18:45:00,15.86,8.69,26.6,,,
2025-12-14 19:00:00,15.55,8.68,26.6,,,
2025-12-14 19:15:00,15.21,8.66,26.6,,,
2025-12-14 19:30:00,14.98,8.66,26.5,,,
2025-12-14 19:45:00,14.97,8.66,26.5,,,
2025-12-14 20:00:00,14.6,8.66,26.4,,,
2025-12-14 20:15:00,14.2,8.64,26.4,,,
